geometry,start
"{""type"": ""Point"", ""coordinates"": [-73.99422366,40.7158155]}",99
"{""type"": ""Point"", ""coordinates"": [-73.97121214,40.744219]}",99
"{""type"": ""Point"", ""coordinates"": [-73.97374737,40.77896784]}",98
"{""type"": ""Point"", ""coordinates"": [-73.99852205,40.73226398]}",97
"{""type"": ""Point"", ""coordinates"": [-73.98329859,40.71850211]}",96
"{""type"": ""Point"", ""coordinates"": [-73.98940236,40.70255088]}",96
"{""type"": ""Point"", ""coordinates"": [-73.95411749,40.74232744]}",96
"{""type"": ""Point"", ""coordinates"": [-73.968087,40.7919557]}",95
"{""type"": ""Point"", ""coordinates"": [-74.013012,40.7149787]}",95
"{""type"": ""Point"", ""coordinates"": [-74.0091059,40.71625008]}",95
"{""type"": ""Point"", ""coordinates"": [-73.960876,40.710451]}",95
"{""type"": ""Point"", ""coordinates"": [-74.00483091,40.73535398]}",94
"{""type"": ""Point"", ""coordinates"": [-74.00398269,40.73756121]}",94
"{""type"": ""Point"", ""coordinates"": [-74.00965965,40.72405549]}",94
"{""type"": ""Point"", ""coordinates"": [-73.97906899,40.76674056]}",93
"{""type"": ""Point"", ""coordinates"": [-74.00926027,40.7047177]}",93
"{""type"": ""Point"", ""coordinates"": [-73.99063168,40.6867443]}",93
"{""type"": ""Point"", ""coordinates"": [-73.96590294,40.71285887]}",93
"{""type"": ""Point"", ""coordinates"": [-73.95939,40.78307]}",92
"{""type"": ""Point"", ""coordinates"": [-74.00618026,40.73652889]}",92
"{""type"": ""Point"", ""coordinates"": [-73.99740189,40.75469175]}",92
"{""type"": ""Point"", ""coordinates"": [-74.000271,40.735238]}",91
"{""type"": ""Point"", ""coordinates"": [-73.98949474,40.69241829]}",91
"{""type"": ""Point"", ""coordinates"": [-73.963198,40.716887]}",89
"{""type"": ""Point"", ""coordinates"": [-73.99344559,40.69760127]}",89
"{""type"": ""Point"", ""coordinates"": [-74.00504082,40.70831794]}",89
"{""type"": ""Point"", ""coordinates"": [-73.99510132,40.73331967]}",89
"{""type"": ""Point"", ""coordinates"": [-73.99682619,40.71117444]}",87
"{""type"": ""Point"", ""coordinates"": [-74.00887308,40.70717936]}",87
"{""type"": ""Point"", ""coordinates"": [-74.00653609,40.70955958]}",86
"{""type"": ""Point"", ""coordinates"": [-73.95520136,40.71816969]}",86
