geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.98802084,40.7172274]}",109,105
"{""type"": ""Point"", ""coordinates"": [-73.97187886,40.7546011]}",108,116
"{""type"": ""Point"", ""coordinates"": [-73.988639,40.768254]}",107,110
"{""type"": ""Point"", ""coordinates"": [-74.00926027,40.7047177]}",106,102
"{""type"": ""Point"", ""coordinates"": [-74.00747359,40.74275383]}",106,100
"{""type"": ""Point"", ""coordinates"": [-74.013012,40.7149787]}",105,113
"{""type"": ""Point"", ""coordinates"": [-73.97374737,40.77896784]}",105,113
"{""type"": ""Point"", ""coordinates"": [-73.96165073,40.72036775]}",103,91
"{""type"": ""Point"", ""coordinates"": [-74.01677685,40.70569254]}",103,105
"{""type"": ""Point"", ""coordinates"": [-73.97782542,40.7734066]}",103,120
"{""type"": ""Point"", ""coordinates"": [-74.00026394,40.73224119]}",101,87
"{""type"": ""Point"", ""coordinates"": [-73.9396861,40.8045555]}",101,105
"{""type"": ""Point"", ""coordinates"": [-73.963198,40.716887]}",101,84
"{""type"": ""Point"", ""coordinates"": [-74.00670227,40.70355377]}",100,100
"{""type"": ""Point"", ""coordinates"": [-73.98918696,40.77515953]}",98,97
"{""type"": ""Point"", ""coordinates"": [-74.01122332,40.71485151]}",98,99
"{""type"": ""Point"", ""coordinates"": [-73.968087,40.7919557]}",98,108
"{""type"": ""Point"", ""coordinates"": [-74.000271,40.735238]}",96,98
"{""type"": ""Point"", ""coordinates"": [-73.96590294,40.71285887]}",96,100
"{""type"": ""Point"", ""coordinates"": [-73.99852205,40.73226398]}",96,98
"{""type"": ""Point"", ""coordinates"": [-73.98949474,40.69241829]}",96,97
"{""type"": ""Point"", ""coordinates"": [-74.00618026,40.73652889]}",95,95
"{""type"": ""Point"", ""coordinates"": [-73.99422366,40.7158155]}",95,96
"{""type"": ""Point"", ""coordinates"": [-73.98288594,40.77748046]}",95,91
"{""type"": ""Point"", ""coordinates"": [-73.98690506,40.76584941]}",94,96
"{""type"": ""Point"", ""coordinates"": [-73.97995466,40.72299208]}",93,83
"{""type"": ""Point"", ""coordinates"": [-73.99063168,40.6867443]}",93,99
"{""type"": ""Point"", ""coordinates"": [-73.95411749,40.74232744]}",93,94
"{""type"": ""Point"", ""coordinates"": [-73.98085795,40.7208736]}",93,97
"{""type"": ""Point"", ""coordinates"": [-73.96685276,40.77282817]}",93,107
"{""type"": ""Point"", ""coordinates"": [-73.97032517,40.75323098]}",92,92
"{""type"": ""Point"", ""coordinates"": [-73.988038,40.770513]}",92,97
"{""type"": ""Point"", ""coordinates"": [-73.99480012,40.72317958]}",91,115
"{""type"": ""Point"", ""coordinates"": [-74.00398269,40.73756121]}",91,86
"{""type"": ""Point"", ""coordinates"": [-73.97895137,40.68312489]}",90,82
